character_name,role
Jimmy Valmer,"James ""Jimmy"" Valmer is one of the boys' two handicapped classmates, alongside Timmy Burch. He is physically disabled, requiring forearm crutches in order to walk. His disability has never been specified on the show but seems visually and functionally similar to cerebral palsy. In Season 7 Episode 2 ""Krazy Kripples"", it is made clear that both Jimmy and Timmy were born with their disabilities. In any case, hampered by his legs, which in many cases he appears not to be able to use, Jimmy primarily uses his crutches both as substitutes for his legs and sometimes even as extra (weaponized) extensions for his arms. He prefers to be called ""handi-capable"".[68][69] Jimmy is able to speak coherently, and his various aspirations on several different levels of journalism over time also sometimes even makes him more articulate than any of the other children, though his speech is largely affected by his stuttering, and sometimes also his tendency to end some of his sentences with ""...very much"". He aspires to be a stand-up comedian, and is often featured performing his routines. His catchphrase during his routines is ""Wow, what a terrific audience!"""
Tolkien Black,"Tolkien Black, voiced by Trey Parker and later Adrien Beard, first appeared in ""Cartman Gets an Anal Probe"". He is the only black child in South Park until the introduction of Nichole Daniels in ""Cartman Finds Love"" in season 16.[70] Originally named ""Token"", ""Token Williams"", and finally ""Token Black"" as a play on the notion of a token black character,[74] it is retconned in the second episode ""The Big Fix"" of the twenty-fifth season (2022) his first name is actually ""Tolkien"", after J. R. R. Tolkien. In the episode, Tolkien addresses an assembly hosted by Stan in which he states that he hates his namesake, saying that he finds J.R.R. Tolkien's work to be ""a bunch of nerdy, jive-ass dragon shit"". After his name was changed, Comedy Central changed the synopses and subtitles for every past episode that mentions the name ""Token"" to ""Tolkien""."
Wendy Testaburger,"Wendy Testaburger is the show's most prominent female student. Her best friend is Bebe Stevens, she is the on-and-off girlfriend of Stan. She is also the other voice of reason (besides Kyle). Wendy has previously been voiced by Karri Turner (in the unaired pilot), Mary Kay Bergman, Mona Marshall, Eliza Schneider, and is currently voiced by April Stewart. Fellow co-creator Matt Stone has also cited the name of Wendy Westerberg, the wife of an old friend from his childhood.[67] She wears a pink beret, a purple coat and yellow pants. She has long black hair with uneven bangs. Wendy made her first appearance unnamed, but clearly recognizable, in ""The Spirit of Christmas""."
Clyde Donovan,"Clyde Donovan, voiced by Trey Parker,[77] maintains a friendship with the show's main characters and is among the most often-seen of the boys' extended group, playing supporting roles in several episodes. Clyde first appeared in the show's pilot episode ""Cartman Gets an Anal Probe"". He makes his first prominent appearance in the 1999 season 3 episode ""Tweek vs. Craig"" in which he tells everyone that both Tweek and Craig decided against fighting each other and went home instead. He has medium-brown hair, wears a burgundy coat, grayish-brown trousers, and sometimes wears ocean-blue mittens. In the season 4 (2000) episode ""Cartman's Silly Hate Crime 2000"", he is nominated as ""the second fattest kid in class"" besides Cartman, and is chosen to replace him in the sled race. The season 11 (2007) episode ""Lice Capades"" focuses heavily on Clyde and a group of anthropomorphic lice, who are portrayed as living in a civilized society on Clyde's head. Clyde was so embarrassed when a girl at the doctor's office asked what he was going in for that he said he had AIDS.[78]"
Craig Tucker,"Craig Tucker, voiced by Matt Stone, commonly characterized by his blue chullo hat and deep nasal monotone voice, is one of the more prominent members of the children's classroom. Craig dislikes the four main characters and rivals them in several episodes. Craig is a pragmatist[79] and has no wish to become involved in any extraordinary adventures the other main characters on the show customarily experience.[80] In the first several seasons, Craig has a habit of giving people the finger,[81] a trait the show's official website attributes to his learning the behavior from his family, all of whom frequently use the gesture as well, most notably in the third season episode, ""Tweek vs. Craig"", in which his entire family take turns flipping each other off at the dinner table.[82][83] This trait was used less throughout the show's runtime, and was last seen in the episode ""Fun with Veal"". Along with the rest of the characters, Craig moved to the fourth grade in ""Fourth Grade""."
Terrance and Phillip,"Introduced in the first season, Sir Terrance Henry Stoot and Sir Phillip Niles Argyle are two Canadian comedians who host The Terrance and Phillip Show: a sketch comedy program which the children of South Park adore. The children have occasionally made reference to the show being animated, with Eric Cartman explaining that he finds the animation ""crappy"" in South Park: Bigger Longer and Uncut, though it is subsequently revealed that all Canadians are depicted in a visually similar manner. Both South Park: Bigger Longer and Uncut and ""Freemium Isn't Free"" explain that the success of Terrance and Phillip's show accounts for the majority of Canada's economy."
Timmy Burch,"One of the boys' two handicapped classmates, whose vocabulary is mostly limited to the enthusiastic shouting of his own name"
Tweek Tweak,"A classmate of the boys whose parents own a coffee shop, Tweek is known for his  hyperactive and paranoid behavior, which is due to an excessive intake of his parents' coffee spiked with methamphetamine, although his parents publicly state his behavior to be because of ADD. He temporarily replaced Kenny as the fourth member of the ""main"" group during the time period in which Kenny was considered ""permanently dead"". He later began pretending to be in a relationship with classmate Craig Tucker in the episode ""Tweek x Craig"", which in later episodes is shown to have become genuine."
Bebe Stevens,"The boys' blonde female classmate, Wendy's best friend, Clyde's on-again, off-again girlfriend and the only child and daughter of Mr. and Mrs. Stevens."
Heidi Turner,"One of the boys' female classmates, who briefly was Cartman's on-again, off-again girlfriend."
Scott Malkinson,A classmate of the boys who is known to have a lisp and diabetes.
Red McArthur,"the fourth-most prominent female character in the fourth grade, behind Wendy, Heidi, and Bebe. She sits at the front of Mr. Garrison's class, usually to the far left. Red is one of ""the popular girls"" in the fourth grade."
PC Principal(Peter Charles)[91],"He is the current principal of the school, who replaced Principal Victoria after she was fired in season 19 (Mr. Mackey plotted for her to be fired); also an Alumni member of the PC Delta fraternity and an alumnus of Texas A&M University. He is dedicated to bring a more politically correct agenda to South Park, while hypocritically he himself is violent and harasses people, but thankfully he would often see the error of his ways and make amends."
Strong Woman,"The vice principal of the school beginning in ""Super Hard PCness"", who is in a secret relationship with PC Principal; later gives birth to five children, the PC Babies"
Sharon Marsh,"Stan and Shelly's mother, and Randy's wife"
Shelley Marsh,"Stan's violent, snobbish, ill-tempered and mischievous older sister who despises her brother and his friends"
Grandpa Marvin Marsh,"Randy's father and Stan's grandfather, who attempts to kill himself or have others do so in several episodes. He has Alzheimer's disease, and often refers to Stan as ""Billy"" as a result"
Jimbo Kern,"Sharon's brother, Randy's brother-in-law,[95] and Stan's uncle, who is portrayed as a hunter, TV show host, and gun store owner"
Ike Broflovski,"Kyle's younger brother, the Canadian-born adopted son of Gerald and Sheila, this little boy stays loyal to Canada."
Stuart McCormick,Kenny's alcoholic and violent father
Carol McCormick,Kenny's alcoholic and violent mother
Karen McCormick,"Kenny's shy and reclusive younger sister, who looks to Kenny for protection and comfort when she is upset"
Chris/Stephen Stotch,"Butters' strict father (bisexual, as explored in ""Butters' Very Own Episode""), who tends to punish his son for things he did not do or for trivial offenses.  His first name is either Chris or Stephen, depending on the episode, but the name Stephen is ultimately retained."
Linda Stotch,Butters' mother
Officer Barbrady,The town's highly untrained and undereducated police officer
Big Gay Al,Former scout leader who used to own a sanctuary for gay animals; portrayed as the show's stereotypical gay character
Ned Gerblanski,A hunter and a soldier in the Vietnam War. Jimbo Kern's best friend who lost his right arm and speaks through an electric voicebox.
Jesus,"The central figure of Christianity, Jesus lives in an ordinary house and hosts a talk show on the local TV-station, and is the leader of the Super Best Friends, a superhero team primarily composed of religious figures."
Tuong Lu Kim,"The owner of City Wok, a local Chinese restaurant, known for his incredibly thick Chinese accent. It is later discovered that Lu Kim is not actually a Chinese man but rather one of many personalities of William Janus, a therapist with Multiple Personality Disorder."
Scott The Dick,"The self-described ""biggest Canadian patriot"" who often clashes with Terrance and Phillip due to his distaste for the duo's comedy. His uptight, abrasive attitude has lead many Canadians to label him a ""dick""."
Ugly Bob,"A notoriously hideous Canadian (though, he claims this goes unnoticed by most Americans, who believe him to simply ""look Canadian"") who hides his face beneath a paper bag. He immigrated to America, but returned to Canada during the events of Royal Pudding."
Father Maxi,Catholic priest
Mayor Mary McDaniels,The Mayor of South Park
Dr. Alphonse Mephesto,Local mad scientist and Brando look-alike
Kevin Mephesto,Dr. Alphonse Mephesto's adopted son and his lab assistant.
Santa Claus,"A figure of Christmas, who often makes appearances in the show during Christmas-themed episodes."
Mr. Slave,"Mr. Garrison's former lover and classroom assistant, who later married Big Gay Al"
Towelie,A talking stoner towel; father of Washcloth
Harrison Yates,"A police detective, married to Maggie with an unnamed son"
Pip Pirrup,"The boys' unpopular, stereotypically British classmate, based on the main character in Charles Dickens' 1861 novel Great Expectations. Killed off in ""201"" by Mecha-Streisand."
Chef,"The school's chef and good friend of the boys, who was killed in ""The Return of Chef"", but was brought back to life as Darth Chef. Despite this, he never appears again after his resurrection."
Mr. Hankey,"A sentient piece of poo who serves as a figure of Christmas. He is kicked out of South Park in ""The Problem with a Poo"" over some offensive social media posts, ending up in Springfield."
Satan,"The ruler of Hell, portrayed with the outline of a massive phallus upon his abdomen and chest. Killed by ManBearPig in ""Nobody Got Cereal?"", ironically raising up to heaven afterwards."
Kevin McCormick,The eldest child of Stuart and Carol McCormick. He is Kenny and Karen's older brother.
Darryl Weathers,"A middle-class construction worker who made his first appearance in Season Eight episode ""Goobacks"", as a worker who was upset over losing his job to immigrants from the future. Since then, he has made numerous appearances as a background character or a minor character, often leading other redneck or working class characters in chanting ""They took our jobs!""."
Michael,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes."
Pete Thelman,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes."
Henrietta Biggle,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes."
Firkle Smith,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes."
Bradley Biggle,"The younger brother of Henrietta Biggle, Bradley was portrayed as a background character until his first major appearance in the Superheroes Saga, beginning with ""Coon 2: Hindsight"" as Mintberry Crunch. It is actually revealed later on that he indeed is a real superhero with real breakfast cereal-themed superpowers."
Dougie O’Connel,"Dougie is shown to be a loud and lonely kid. Like Butters, he is often picked on. He hangs out with other outcasts and is claimed to be a nerd by others. He also is very knowledgeable of The Simpsons. He is also not afraid to speak back, as he called Stan a ""sourpuss"". During Butters' stunts as his supervillain alter ego, Professor Chaos, Dougie joins him as his sidekick, General Disarray."
Nathan,"Nathan is a child with Down's Syndrome who appears to adults to be an innocent child, but in reality he is a cunning and shrewd manipulator. He is frequently involved in questionable or criminal activity. His arch-rival is Jimmy Valmer, and by extent, Jimmy's friend, Timmy Burch. He is often accompanied by his burly sidekick, Mimsy."
Nichole Daniels,"Nichole is the new girl at South Park Elementary, much to the happiness of the male students, especially Eric Cartman. Seeing this as an opportunity for Tolkien Black to have a girlfriend, Cartman begins a plan to have the two brought together."
