character_name,role,character_id
Craig Tucker,"Craig Tucker, voiced by Matt Stone, commonly characterized by his blue chullo hat and deep nasal monotone voice, is one of the more prominent members of the children's classroom. Craig dislikes the four main characters and rivals them in several episodes.",Craig
Terrance and Phillip,"Introduced in the first season, Sir Terrance Henry Stoot and Sir Phillip Niles Argyle are two Canadian comedians who host The Terrance and Phillip Show: a sketch comedy program which the children of South Park adore. The children have occasionally made reference to the show being animated, with Eric Cartman explaining that he finds the animation ""crappy"" in South Park: Bigger Longer and Uncut, though it is subsequently revealed that all Canadians are depicted in a visually similar manner.",Terrance and Phillip
Timmy Burch,"One of the boys' two handicapped classmates, whose vocabulary is mostly limited to the enthusiastic shouting of his own name",Timmy
Tweek Tweak,"A classmate of the boys whose parents own a coffee shop, Tweek is known for his  hyperactive and paranoid behavior, which is due to an excessive intake of his parents' coffee spiked with methamphetamine, although his parents publicly state his behavior to be because of ADD. He temporarily replaced Kenny as the fourth member of the ""main"" group during the time period in which Kenny was considered ""permanently dead"".",Tweek
Bebe Stevens,"The boys' blonde female classmate, Wendy's best friend, Clyde's on-again, off-again girlfriend and the only child and daughter of Mr. and Mrs. Stevens.",Bebe
Heidi Turner,"One of the boys' female classmates, who briefly was Cartman's on-again, off-again girlfriend.",Heidi
Scott Malkinson,A classmate of the boys who is known to have a lisp and diabetes.,Scott Malkinson
Red McArthur,"the fourth-most prominent female character in the fourth grade, behind Wendy, Heidi, and Bebe. She sits at the front of Mr. Garrison's class, usually to the far left.",Red McArthur
PC Principal,"He is the current principal of the school, who replaced Principal Victoria after she was fired in season 19 (Mr. Mackey plotted for her to be fired); also an Alumni member of the PC Delta fraternity and an alumnus of Texas A&M University. He is dedicated to bring a more politically correct agenda to South Park, while hypocritically he himself is violent and harasses people, but thankfully he would often see the error of his ways and make amends.",PC Principal
Strong Woman,"The vice principal of the school beginning in ""Super Hard PCness"", who is in a secret relationship with PC Principal; later gives birth to five children, the PC Babies",Strong Woman
Sharon Marsh,"Stan and Shelly's mother, and Randy's wife",Sharon
Shelley Marsh,"Stan's violent, snobbish, ill-tempered and mischievous older sister who despises her brother and his friends",Shelley
Grandpa Marvin Marsh,"Randy's father and Stan's grandfather, who attempts to kill himself or have others do so in several episodes. He has Alzheimer's disease, and often refers to Stan as ""Billy"" as a result",Grandpa
Jimbo Kern,"Sharon's brother, Randy's brother-in-law, and Stan's uncle, who is portrayed as a hunter, TV show host, and gun store owner",Jimbo
Ike Broflovski,"Kyle's younger brother, the Canadian-born adopted son of Gerald and Sheila, this little boy stays loyal to Canada.",Ike
Stuart McCormick,Kenny's alcoholic and violent father,Stuart
Carol McCormick,Kenny's alcoholic and violent mother,Carol
Karen McCormick,"Kenny's shy and reclusive younger sister, who looks to Kenny for protection and comfort when she is upset",Karen
Chris/Stephen Stotch,"Butters' strict father (bisexual, as explored in ""Butters' Very Own Episode""), who tends to punish his son for things he did not do or for trivial offenses.  His first name is either Chris or Stephen, depending on the episode, but the name Stephen is ultimately retained.",Stephen
Linda Stotch,Butters' mother,Linda
Officer Barbrady,The town's highly untrained and undereducated police officer,Officer Barbrady
Big Gay Al,Former scout leader who used to own a sanctuary for gay animals; portrayed as the show's stereotypical gay character,Big Gay Al
Ned Gerblanski,A hunter and a soldier in the Vietnam War. Jimbo Kern's best friend who lost his right arm and speaks through an electric voicebox.,Ned
Jesus,"The central figure of Christianity, Jesus lives in an ordinary house and hosts a talk show on the local TV-station, and is the leader of the Super Best Friends, a superhero team primarily composed of religious figures.",Jesus
Tuong Lu Kim,"The owner of City Wok, a local Chinese restaurant, known for his incredibly thick Chinese accent. It is later discovered that Lu Kim is not actually a Chinese man but rather one of many personalities of William Janus, a therapist with Multiple Personality Disorder.",Lu Kim
Scott The Dick,"The self-described ""biggest Canadian patriot"" who often clashes with Terrance and Phillip due to his distaste for the duo's comedy. His uptight, abrasive attitude has lead many Canadians to label him a ""dick"".",Scott
Ugly Bob,"A notoriously hideous Canadian (though, he claims this goes unnoticed by most Americans, who believe him to simply ""look Canadian"") who hides his face beneath a paper bag. He immigrated to America, but returned to Canada during the events of Royal Pudding.",Ugly Bob
Father Maxi,Catholic priest,Father Maxi
Mayor Mary McDaniels,The Mayor of South Park,Mayor
Dr. Alphonse Mephesto,Local mad scientist and Brando look-alike,Dr. Alphonse
Kevin Mephesto,Dr. Alphonse Mephesto's adopted son and his lab assistant.,Kevin Mephesto
Santa Claus,"A figure of Christmas, who often makes appearances in the show during Christmas-themed episodes.",Santa
Mr. Slave,"Mr. Garrison's former lover and classroom assistant, who later married Big Gay Al",Mr. Slave
Towelie,A talking stoner towel; father of Washcloth,Towelie
Harrison Yates,"A police detective, married to Maggie with an unnamed son",Harrison
Pip Pirrup,"The boys' unpopular, stereotypically British classmate, based on the main character in Charles Dickens' 1861 novel Great Expectations. Killed off in ""201"" by Mecha-Streisand.",Pip
Chef,"The school's chef and good friend of the boys, who was killed in ""The Return of Chef"", but was brought back to life as Darth Chef. Despite this, he never appears again after his resurrection.",Chef
Mr. Hankey,"A sentient piece of poo who serves as a figure of Christmas. He is kicked out of South Park in ""The Problem with a Poo"" over some offensive social media posts, ending up in Springfield.",Mr. Hankey
Satan,"The ruler of Hell, portrayed with the outline of a massive phallus upon his abdomen and chest. Killed by ManBearPig in ""Nobody Got Cereal?"", ironically raising up to heaven afterwards.",Satan
Kevin McCormick,The eldest child of Stuart and Carol McCormick. He is Kenny and Karen's older brother.,Kevin McCormick
Darryl Weathers,"A middle-class construction worker who made his first appearance in Season Eight episode ""Goobacks"", as a worker who was upset over losing his job to immigrants from the future. Since then, he has made numerous appearances as a background character or a minor character, often leading other redneck or working class characters in chanting ""They took our jobs!"".",Darryl
Michael,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes.",Michael
Pete Thelman,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes.",Pete
Henrietta Biggle,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes.",Henrietta
Firkle Smith,"Known as the Goth Kids, this clique of four stereotypically goth children often hang out behind the school, at a local coffee shop, or sometimes in the bedroom of Henrietta, one of their members. They typically listen to goth music and smoke cigarettes.",Firkle
Bradley Biggle,"The younger brother of Henrietta Biggle, Bradley was portrayed as a background character until his first major appearance in the Superheroes Saga, beginning with ""Coon 2: Hindsight"" as Mintberry Crunch. It is actually revealed later on that he indeed is a real superhero with real breakfast cereal-themed superpowers.",Bradley
Dougie O’Connel,"Dougie is shown to be a loud and lonely kid. Like Butters, he is often picked on.",Dougie
Nathan,"Nathan is a child with Down's Syndrome who appears to adults to be an innocent child, but in reality he is a cunning and shrewd manipulator. He is frequently involved in questionable or criminal activity.",Nathan
Nichole Daniels,"Nichole is the new girl at South Park Elementary, much to the happiness of the male students, especially Eric Cartman. Seeing this as an opportunity for Tolkien Black to have a girlfriend, Cartman begins a plan to have the two brought together.",Nichole
Sheila Broflovski,"Sheila made her first appearance in the season one episode ""Death"" (where she was originally named Carol), and she exhibits several traits commonly associated with those of a stereotypical Jewish mother. In the episode ""Its a Jersey Thing"", it is revealed that Sheila was originally from New Jersey, where she was known as ""S-Wow Tittybang"", and that she and Gerald moved to South Park to avoid having their newly conceived child grow up there.",Sheila
